Frequency (Hz),RIN (Hz^-1/2)
20900.63292,9.02E-07
20930.30279,9.09E-07
20959.97266,8.92E-07
20989.64252,8.51E-07
21019.31239,8.04E-07
21048.98226,7.85E-07
21078.65213,7.95E-07
21108.32199,8.09E-07
21137.99186,8.13E-07
21167.66173,8.19E-07
21197.3316,8.35E-07
21227.00147,8.46E-07
21256.67133,8.46E-07
21286.3412,8.48E-07
21316.01107,8.50E-07
21345.68094,8.49E-07
21375.3508,8.47E-07
21405.02067,8.51E-07
21434.69054,8.54E-07
21464.36041,8.54E-07
21494.03027,8.51E-07
21523.70014,8.47E-07
21553.37001,8.50E-07
21583.03988,8.50E-07
21612.70974,8.42E-07
21642.37961,8.34E-07
21672.04948,8.25E-07
21701.71935,8.22E-07
21731.38921,8.28E-07
21761.05908,8.32E-07
21790.72895,8.32E-07
21820.39882,8.41E-07
21850.06869,8.55E-07
21879.73855,8.63E-07
21909.40842,8.62E-07
21939.07829,8.54E-07
21968.74816,8.41E-07
21998.41802,8.30E-07
22028.08789,8.25E-07
22057.75776,8.16E-07
22087.42763,8.07E-07
22117.09749,8.13E-07
22146.76736,8.32E-07
22176.43723,8.52E-07
22206.1071,8.61E-07
22235.77696,8.51E-07
22265.44683,8.26E-07
22295.1167,8.02E-07
22324.78657,7.94E-07
22354.45643,8.07E-07
22384.1263,8.21E-07
22413.79617,8.29E-07
22443.46604,8.38E-07
22473.13591,8.50E-07
22502.80577,8.55E-07
22532.47564,8.55E-07
22562.14551,8.59E-07
22591.81538,8.63E-07
22621.48524,8.65E-07
22651.15511,8.51E-07
22680.82498,8.19E-07
22710.49485,7.94E-07
22740.16471,7.91E-07
22769.83458,8.05E-07
22799.50445,8.27E-07
22829.17432,8.45E-07
22858.84418,8.50E-07
22888.51405,8.40E-07
22918.18392,8.23E-07
22947.85379,8.14E-07
22977.52366,8.30E-07
23007.19352,8.65E-07
23036.86339,9.12E-07
23066.53326,9.45E-07
23096.20313,9.37E-07
23125.87299,8.94E-07
23155.54286,8.57E-07
23185.21273,8.49E-07
23214.8826,8.55E-07
23244.55246,8.50E-07
23274.22233,8.34E-07
23303.8922,8.20E-07
23333.56207,8.14E-07
23363.23193,8.15E-07
23392.9018,8.18E-07
23422.57167,8.23E-07
23452.24154,8.26E-07
23481.9114,8.18E-07
23511.58127,8.15E-07
23541.25114,8.31E-07
23570.92101,8.45E-07
23600.59088,8.41E-07
23630.26074,8.30E-07
23659.93061,8.25E-07
23689.60048,8.27E-07
23719.27035,8.27E-07
23748.94021,8.32E-07
23778.61008,8.42E-07
23808.27995,8.40E-07
23837.94982,8.26E-07
23867.61968,8.14E-07
23897.28955,8.02E-07
23926.95942,8.00E-07
23956.62929,8.04E-07
23986.29915,8.10E-07
24015.96902,8.21E-07
24045.63889,8.36E-07
24075.30876,8.42E-07
24104.97862,8.37E-07
24134.64849,8.27E-07
24164.31836,8.16E-07
24193.98823,8.18E-07
24223.6581,8.30E-07
24253.32796,8.35E-07
24282.99783,8.31E-07
24312.6677,8.24E-07
24342.33757,8.17E-07
24372.00743,8.19E-07
24401.6773,8.32E-07
24431.34717,8.64E-07
24461.01704,9.26E-07
24490.6869,9.85E-07
24520.35677,9.85E-07
24550.02664,9.17E-07
24579.69651,8.40E-07
24609.36637,8.07E-07
24639.03624,8.00E-07
24668.70611,7.96E-07
24698.37598,8.08E-07
24728.04584,8.36E-07
24757.71571,8.52E-07
24787.38558,8.46E-07
24817.05545,8.28E-07
24846.72532,8.16E-07
24876.39518,8.14E-07
24906.06505,8.11E-07
24935.73492,8.01E-07
24965.40479,7.87E-07
24995.07465,7.77E-07
25024.74452,7.73E-07
25054.41439,7.63E-07
25084.08426,7.53E-07
25113.75412,7.58E-07
25143.42399,7.85E-07
25173.09386,8.16E-07
25202.76373,8.29E-07
25232.43359,8.20E-07
25262.10346,8.06E-07
25291.77333,7.99E-07
25321.4432,8.08E-07
25351.11306,8.24E-07
25380.78293,8.36E-07
25410.4528,8.36E-07
25440.12267,8.36E-07
25469.79254,8.34E-07
25499.4624,8.33E-07
25529.13227,8.35E-07
25558.80214,8.27E-07
25588.47201,8.16E-07
25618.14187,8.05E-07
25647.81174,7.96E-07
25677.48161,7.97E-07
25707.15148,8.08E-07
25736.82134,8.14E-07
25766.49121,8.17E-07
25796.16108,8.19E-07
25825.83095,8.17E-07
25855.50081,8.13E-07
25885.17068,8.06E-07
25914.84055,8.06E-07
25944.51042,8.15E-07
25974.18028,8.24E-07
26003.85015,8.21E-07
26033.52002,8.08E-07
26063.18989,7.95E-07
26092.85976,7.89E-07
26122.52962,7.90E-07
26152.19949,7.87E-07
26181.86936,7.88E-07
26211.53923,8.01E-07
26241.20909,8.09E-07
26270.87896,8.02E-07
26300.54883,7.90E-07
26330.2187,7.87E-07
26359.88856,7.97E-07
26389.55843,8.13E-07
26419.2283,8.19E-07
26448.89817,8.07E-07
26478.56803,7.96E-07
26508.2379,7.99E-07
26537.90777,8.09E-07
26567.57764,8.15E-07
26597.2475,8.15E-07
26626.91737,8.15E-07
26656.58724,8.11E-07
26686.25711,8.03E-07
26715.92698,8.02E-07
26745.59684,8.12E-07
26775.26671,8.25E-07
26804.93658,8.25E-07
26834.60645,8.10E-07
26864.27631,7.93E-07
26893.94618,7.91E-07
26923.61605,7.96E-07
26953.28592,8.00E-07
26982.95578,7.97E-07
27012.62565,7.88E-07
27042.29552,7.77E-07
27071.96539,7.69E-07
27101.63525,7.66E-07
27131.30512,7.67E-07
27160.97499,7.74E-07
27190.64486,7.82E-07
27220.31472,7.90E-07
27249.98459,7.90E-07
27279.65446,7.83E-07
27309.32433,7.79E-07
27338.9942,7.80E-07
27368.66406,7.82E-07
27398.33393,7.83E-07
27428.0038,7.78E-07
27457.67367,7.76E-07
27487.34353,7.75E-07
27517.0134,7.70E-07
27546.68327,7.66E-07
27576.35314,7.75E-07
27606.023,7.86E-07
27635.69287,7.85E-07
27665.36274,7.69E-07
27695.03261,7.57E-07
27724.70247,7.55E-07
27754.37234,7.62E-07
27784.04221,7.71E-07
27813.71208,7.76E-07
27843.38194,7.76E-07
27873.05181,7.78E-07
27902.72168,7.83E-07
27932.39155,7.88E-07
27962.06142,7.92E-07
27991.73128,7.90E-07
28021.40115,7.81E-07
28051.07102,7.74E-07
28080.74089,7.72E-07
28110.41075,7.72E-07
28140.08062,7.78E-07
28169.75049,7.84E-07
28199.42036,7.81E-07
28229.09022,7.72E-07
28258.76009,7.59E-07
28288.42996,7.58E-07
28318.09983,7.63E-07
28347.76969,7.71E-07
28377.43956,7.85E-07
28407.10943,8.04E-07
28436.7793,8.16E-07
28466.44916,8.12E-07
28496.11903,7.96E-07
28525.7889,7.80E-07
28555.45877,7.76E-07
28585.12864,7.83E-07
28614.7985,7.94E-07
28644.46837,8.03E-07
28674.13824,8.00E-07
28703.80811,7.82E-07
28733.47797,7.67E-07
28763.14784,7.75E-07
28792.81771,7.90E-07
28822.48758,7.89E-07
28852.15744,7.72E-07
28881.82731,7.60E-07
28911.49718,7.60E-07
28941.16705,7.69E-07
28970.83691,7.75E-07
29000.50678,7.73E-07
29030.17665,7.73E-07
29059.84652,7.82E-07
29089.51639,7.93E-07
29119.18625,7.97E-07
29148.85612,7.93E-07
29178.52599,7.86E-07
29208.19586,7.83E-07
29237.86572,7.83E-07
29267.53559,7.78E-07
29297.20546,7.66E-07
29326.87533,7.57E-07
29356.54519,7.63E-07
29386.21506,7.79E-07
29415.88493,7.94E-07
29445.5548,8.01E-07
29475.22466,7.95E-07
29504.89453,7.90E-07
29534.5644,7.94E-07
29564.23427,7.87E-07
29593.90413,7.68E-07
29623.574,7.58E-07
29653.24387,7.67E-07
29682.91374,7.89E-07
29712.58361,8.05E-07
29742.25347,8.10E-07
29771.92334,8.06E-07
29801.59321,7.95E-07
29831.26308,7.88E-07
29860.93294,7.95E-07
29890.60281,8.11E-07
29920.27268,8.26E-07
29949.94255,8.36E-07
29979.61241,8.29E-07
30009.28228,8.16E-07
30038.95215,8.06E-07
30068.62202,7.91E-07
30098.29188,7.68E-07
30127.96175,7.46E-07
30157.63162,7.41E-07
30187.30149,7.51E-07
30216.97135,7.66E-07
30246.64122,7.68E-07
30276.31109,7.59E-07
30305.98096,7.52E-07
30335.65083,7.43E-07
30365.32069,7.41E-07
30394.99056,7.47E-07
30424.66043,7.57E-07
30454.3303,7.61E-07
30484.00016,7.62E-07
30513.67003,7.72E-07
30543.3399,7.85E-07
30573.00977,7.89E-07
30602.67963,7.84E-07
30632.3495,7.76E-07
30662.01937,7.69E-07
30691.68924,7.65E-07
30721.3591,7.74E-07
30751.02897,7.87E-07
30780.69884,7.82E-07
30810.36871,7.62E-07
30840.03857,7.54E-07
30869.70844,7.61E-07
30899.37831,7.70E-07
30929.04818,7.72E-07
30958.71805,7.64E-07
30988.38791,7.65E-07
31018.05778,7.76E-07
31047.72765,7.79E-07
31077.39752,7.68E-07
31107.06738,7.57E-07
31136.73725,7.59E-07
31166.40712,7.69E-07
31196.07699,7.76E-07
31225.74685,7.81E-07
31255.41672,8.02E-07
31285.08659,8.28E-07
31314.75646,8.33E-07
31344.42632,8.04E-07
31374.09619,7.66E-07
31403.76606,7.49E-07
31433.43593,7.49E-07
31463.10579,7.45E-07
31492.77566,7.33E-07
31522.44553,7.29E-07
31552.1154,7.41E-07
31581.78527,7.65E-07
31611.45513,7.91E-07
31641.125,8.02E-07
