frequency (Hz),RIN (Hz^-1/2)
28941.16705,7.55E-06
28970.83691,7.33E-06
29000.50678,7.07E-06
29030.17665,7.41E-06
29059.84652,7.64E-06
29089.51639,6.72E-06
29119.18625,7.63E-06
29148.85612,6.89E-06
29178.52599,6.83E-06
29208.19586,7.07E-06
29237.86572,7.21E-06
29267.53559,7.38E-06
29297.20546,7.75E-06
29326.87533,7.43E-06
29356.54519,7.50E-06
29386.21506,7.39E-06
29415.88493,7.54E-06
29445.5548,7.97E-06
29475.22466,6.87E-06
29504.89453,6.94E-06
29534.5644,7.96E-06
29564.23427,8.09E-06
29593.90413,7.82E-06
29623.574,7.35E-06
29653.24387,7.92E-06
29682.91374,8.16E-06
29712.58361,7.87E-06
29742.25347,7.34E-06
29771.92334,7.30E-06
29801.59321,7.56E-06
29831.26308,7.76E-06
29860.93294,8.10E-06
29890.60281,8.47E-06
29920.27268,8.48E-06
29949.94255,8.19E-06
29979.61241,8.36E-06
30009.28228,8.13E-06
30038.95215,7.79E-06
30068.62202,7.51E-06
30098.29188,7.67E-06
30127.96175,7.06E-06
30157.63162,7.13E-06
30187.30149,8.03E-06
30216.97135,8.25E-06
30246.64122,8.02E-06
30276.31109,7.90E-06
30305.98096,6.88E-06
30335.65083,7.05E-06
30365.32069,8.40E-06
30394.99056,9.01E-06
30424.66043,8.52E-06
30454.3303,8.06E-06
30484.00016,7.84E-06
30513.67003,7.58E-06
30543.3399,7.72E-06
30573.00977,7.50E-06
30602.67963,7.36E-06
30632.3495,7.86E-06
30662.01937,8.24E-06
30691.68924,8.05E-06
30721.3591,7.56E-06
30751.02897,7.45E-06
30780.69884,7.62E-06
30810.36871,7.71E-06
30840.03857,8.24E-06
30869.70844,7.82E-06
30899.37831,7.42E-06
30929.04818,7.83E-06
30958.71805,8.63E-06
30988.38791,8.46E-06
31018.05778,8.63E-06
31047.72765,8.16E-06
31077.39752,7.07E-06
31107.06738,7.50E-06
31136.73725,7.68E-06
31166.40712,7.69E-06
31196.07699,7.20E-06
31225.74685,8.08E-06
31255.41672,8.40E-06
31285.08659,8.31E-06
